ticker,type,strike,expiry,iv,open_interest,market_price
BOVAC191,CALL,R$ 191.00,20/03/2026,19.3%,10000,-20.68
BOVAN194,PUT,R$ 194.00,20/02/2026,38.5%,10000,0
BOVAB235,CALL,R$ 235.00,20/02/2026,33.3%,10000,0
BOVAC235,CALL,R$ 235.00,20/03/2026,33.9%,10000,0
BOVAF220,CALL,R$ 220.00,19/06/2026,18.8%,9906,0
BOVAC700,CALL,R$ 70.00,20/03/2026,0.0%,9894,-0.74
BOVAO98,PUT,R$ 174.00,20/03/2026,17.9%,9806,-11.2
BOVAW68,PUT,R$ 151.00,19/11/2027,26.7%,9800,0.6
BOVAS142,PUT,R$ 142.00,17/07/2026,20.5%,9776,9.25
BOVAS143,PUT,R$ 143.00,17/07/2026,22.0%,9652,9.56
BOVAL109,CALL,R$ 110.00,18/12/2026,0.0%,9564,0.79
BOVAP156,PUT,R$ 156.00,17/04/2026,18.5%,9511,-3.92
BOVAN15,PUT,R$ 155.00,19/02/2027,24.8%,9478,-5.35
BOVAM136W4,PUT,R$ 136.00,23/01/2026,34.3%,9409,-96.77
BOVAR151,PUT,R$ 151.00,19/06/2026,19.9%,9177,-22.5
BOVAV6,PUT,R$ 135.00,16/10/2026,27.7%,9144,-11.31
BOVAX142,PUT,R$ 142.00,18/12/2026,26.0%,9034,-9.92
BOVAN220,PUT,R$ 220.00,20/02/2026,53.5%,9028,-1.96
BOVAG145,CALL,R$ 145.00,17/07/2026,0.0%,9027,9.06
BOVAN139W1,PUT,R$ 139.00,06/02/2026,29.6%,9000,-50
BOVAS500,PUT,R$ 50.00,16/07/2027,44.1%,8972,-40
BOVAB154W1,CALL,R$ 154.00,06/02/2026,13.0%,8937,18.67
BOVAC134W1,CALL,R$ 134.00,06/03/2026,0.0%,8900,0
BOVAD157,CALL,R$ 158.00,17/04/2026,14.1%,8812,-6.3
BOVAG100,CALL,R$ 100.00,16/07/2027,0.0%,8730,1.16
BOVAO185,PUT,R$ 185.00,20/03/2026,22.8%,8700,-6.84
BOVAA155,CALL,R$ 155.00,15/01/2027,11.2%,8690,5.25
BOVAQ136,PUT,R$ 136.00,15/05/2026,24.2%,8651,0
BOVAQ128,PUT,R$ 128.00,15/05/2026,25.8%,8565,21.27
BOVAV49,PUT,R$ 164.00,16/10/2026,25.6%,8554,0
BOVAA161W5,CALL,R$ 161.00,30/01/2026,15.1%,8533,0
